Cluster,Restaurant Count,Average Rating,Average Price,Dominant Cuisine
0,50,3.23,1.9,North Indian
1,16,1.8625,1.0,Bakery
2,25,0.728,1.44,North Indian
3,9,1.4777777777777779,1.6666666666666667,North Indian
4,48,1.0791666666666666,1.2916666666666667,North Indian
5,128,2.675,1.5859375,North Indian
6,253,3.083399209486166,1.976284584980237,North Indian
7,69,3.4855072463768115,2.3043478260869565,North Indian
8,204,3.351960784313725,2.235294117647059,North Indian
9,23,3.3434782608695657,2.1739130434782608,North Indian
10,29,3.1689655172413795,1.6551724137931034,North Indian
11,33,2.0424242424242425,1.6666666666666667,North Indian
12,8,3.6875,2.625,Mughlai
13,6,2.966666666666667,1.8333333333333333,North Indian
14,55,2.038181818181818,1.5454545454545454,Cafe
15,15,0.5866666666666667,1.3333333333333333,North Indian
16,7,1.7857142857142858,1.2857142857142858,North Indian
17,10,1.7,1.3,Chinese
18,11,0.3,1.1818181818181819,North Indian
19,9,0.0,1.3333333333333333,North Indian
20,12,2.158333333333333,1.9166666666666667,Chinese
21,22,1.4045454545454545,1.4545454545454546,North Indian
22,17,2.7176470588235295,1.7058823529411764,North Indian
23,8,0.0,1.625,Afghani
24,5,1.2600000000000002,1.8,North Indian
